Ensembl	Transcript ID	Chromosome	Start	Stop	Total counts	Maximum counts	Average coverage	gene_biotype	gene_id	gene_name	gene_source	gene_version	Total count	Expressed genes	Ribosomal reads percent	P-value (day14_ vs day0_)	FDR step up (day14_ vs day0_)	Fold change (day14_ vs day0_)	Log2 Fold-Change (day14_ vs day0_)	P-value (day21_ vs day0_)	FDR step up (day21_ vs day0_)	Fold change (day21_ vs day0_)	Log2 Fold-Change (day21_ vs day0_)	P-value (day35_ vs day0_)	FDR step up (day35_ vs day0_)	Fold change (day35_ vs day0_)	Log2 Fold-Change (day35_ vs day0_)	P-value (day60_ vs day0_)	FDR step up (day60_ vs day0_)	Fold change (day60_ vs day0_)	Log2 Fold-Change (day60_ vs day0_)
ATOH1	ENST00000306011	4	93828753	93830965	14432.4819536921E0	4673.55165798574E0	320.721821193157E0	protein_coding	ENSG00000172238	ATOH1	ensembl_havana	6	6.89924e-310	7.44427e-284	817	0.0292345150233796E0	0.0481613453968862E0	-6.6762117440823E0	-2.73902971223392E0	5.70389623332769E-6	1.46723903485637E-5	47.6677179202625E0	5.57494065329413E0	0.00159070227828104E0	0.00268709477645674E0	14.7284121166895E0	3.88052999539952E0	0.0200363964601614E0	0.0286925912746375E0	-7.70785474859643E0	-2.94632938488557E0
BARHL1	ENST00000542090	9	132582606	132590253	3000.38154158969E0	742.929804130816E0	66.6751453686599E0	protein_coding	ENSG00000125492	BARHL1	ensembl_havana	10	3.2114266979681e-322	8.47093830223713e-318	0	0.337352769556469E0	0.417143184252422E0	-2.2038911072624E0	-1.14005294310438E0	7.66349931737538E-8	2.36142040005636E-7	62.232504816895E0	5.95959640979636E0	1.03869166100851E-6	2.34938057410323E-6	42.7221671943792E0	5.41691292827237E0	0.0105406185869466E0	0.0156059777688554E0	7.21741286797549E0	2.85148178566895E0
CBLN1	ENST00000536749	16	49277917	49281839	25002.9253641682E0	1455.27331448864E0	555.620563648182E0	protein_coding	ENSG00000102924	CBLN1	ensembl_havana	12	8.47134837672318e-318	1.67584999898689e-315	3065	0.037577455635904E0	0.0604314368377075E0	2.08864392657223E0	1.06256656174233E0	0.00662974348657167E0	0.0117630049104363E0	2.61502291682146E0	1.38682358962319E0	5.20844577560964E-7	1.20460038328438E-6	5.90479635771026E0	2.56188730538237E0	2.01342759733228E-6	4.09597285845358E-6	5.37531803098325E0	2.42635011435773E0
EN1	ENST00000546667	2	118842171	118847649	4626.92735711022E0	467.586512990031E0	102.820607935783E0	protein_coding	ENSG00000163064	EN1	ensembl_havana	7	3.2114266979681e-322	8.47326041077259e-318	1609	3.34242089552081E-17	2.55385907615766E-16	100.206929444628E0	6.64683846606969E0	5.92654379870902E-26	5.78921108287653E-25	312.662207624736E0	8.28846103690013E0	1.93580034461773E-18	8.7715953115491E-18	119.541068162535E0	6.90136252895009E0	2.34988726942576E-16	8.11407620729768E-16	88.6923880546033E0	6.47073838670671E0
EN2	ENST00000297375	7	155458129	155464832	16539.7403850608E0	1583.27017061896E0	367.549786334685E0	protein_coding	ENSG00000164778	EN2	ensembl_havana	4	6.89924e-310	5.59058998361027e-316	2411	1.47526078872729E-21	1.49906023888669E-20	341.366392800212E0	8.41517722316368E0	2.08505297265222E-20	1.49313162962784E-19	287.913257184484E0	8.16949041019384E0	7.98048760387301E-15	2.99928435774235E-14	115.939141445707E0	6.85722389707209E0	2.00335611500988E-11	5.44155915655335E-11	60.7463479620979E0	5.92472577215977E0
FGF8	ENST00000485728	10	101770109	101780372	5942.41681914987E0	1313.52651767387E0	132.053707092219E0	protein_coding	ENSG00000107831	FGF8	ensembl_havana	14	3.2114266979681e-322	8.48361108605296e-318	1971	2.50665281637326E-12	1.3455542514987E-11	11.5462827229149E0	3.52935655168846E0	9.69226729928876E-10	3.49177806051029E-9	-10.2855858323668E0	-3.36255206214649E0	2.65803849804328E-13	9.1781113143886E-13	-19.8977818118157E0	-4.31453570417575E0	5.81467282490515E-16	1.97706612182248E-15	-57.6686628148398E0	-5.84971566535305E0
GAD1	ENST00000478562	2	170813213	170861152	79994.4564040161E0	9385.76662823538E0	1777.65458675591E0	protein_coding	ENSG00000128683	GAD1	ensembl_havana	14	6.89924e-310	1.67664999996195e-315	2	9.96791919856299E-13	5.52735745175395E-12	17.1713204727343E0	4.10192908158995E0	1.38569228273122E-22	1.12333381127834E-21	49.1728801642333E0	5.61979095435674E0	9.27475075552589E-35	8.30583789735991E-34	133.921223020886E0	7.06524079809006E0	4.52174373469854E-49	5.17620664366806E-48	351.678716214958E0	8.45811421470017E0
GBX2	ENST00000465889	2	236165236	236168387	35069.6356267573E0	2213.3438959229E0	779.325236150161E0	protein_coding	ENSG00000168505	GBX2	ensembl_havana	7	1.67665999985062e-315	3.2114266979681e-322	11618	2.27846931975564E-8	8.55983159469278E-8	4.98634852542861E0	2.31798372485402E0	1.53586642731325E-5	3.77322628051183E-5	3.46641432167551E0	1.79344410230618E0	2.05082189290435E-7	4.87944298852897E-7	4.45185298469473E0	2.15440595077648E0	0.022423787931781E0	0.0319191216504394E0	1.92932333095874E0	0.948094941666639E0
GFAP	ENST00000593179	17	44903159	44916938	89994.6330083666E0	29330.8047150655E0	1999.88073351926E0	protein_coding	ENSG00000131095	GFAP	ensembl_havana	14	1.67665999985062e-315	1.67665999985062e-315	69	7.11938009267909E-4	0.00155992928510792E0	-4.3510180011596E0	-2.12135298565113E0	0.00140803823602745E0	0.00275266224283622E0	-3.98617423336299E0	-1.99500477091835E0	1.9604078636537E-4	3.63114139992751E-4	4.78255753894702E0	2.25778232573901E0	1.48366901125133E-38	1.21723968439139E-37	232.181637417148E0	7.85911006785777E0
GRIN1	ENST00000462584	9	137139154	137168757	13227.314953794E0	1534.97841141918E0	293.940332306533E0	protein_coding	ENSG00000176884	GRIN1	ensembl_havana	16	1.41762255761229e-319	1.67667999962796e-315	789	9.07134615375252E-6	2.56725366666971E-5	-4.52574593548511E0	-2.17815559744091E0	0.492509577211791E0	0.574243416372687E0	1.24913313360145E0	0.320927248723829E0	5.66807412894831E-12	1.80645012574198E-11	9.12037767106888E0	3.1890935670322E0	4.4905115533138E-23	2.0525669397578E-22	23.8589587143E0	4.5764591752006E0
